lf_1,lf_2,lf_3,lf_4,lf_5,goal_status
258,373,375,149,321,Spawning on floor
106,499,275,310,439,Spawning on floor
356,373,375,149,498,Spawning on floor
258,373,375,149,321,Spawning on floor
356,373,375,149,498,Spawning on floor
114,267,375,149,140,Spawning on floor
369,283,318,392,337,Spawning on floor
414,115,378,346,331,Spawning on floor
114,267,378,149,140,Spawning on floor
369,283,318,392,337,Spawning on floor
226,264,147,107,498,Spawning on floor
369,283,318,392,337,Spawning on floor
22,444,263,387,136,Spawning on floor
214,267,375,149,321,Spawning on floor
106,499,275,310,439,Spawning on floor
114,267,375,149,140,Spawning on floor
114,267,375,149,140,Spawning on floor
258,373,375,149,321,Spawning on floor
414,115,378,346,331,Spawning on floor
114,267,375,149,140,Spawning on floor
414,115,378,346,331,Spawning on floor
226,264,147,107,498,Spawning on floor
106,499,275,310,439,Spawning on floor
414,115,378,346,331,Spawning on floor
258,373,375,149,321,Spawning on floor
414,115,378,346,331,Spawning on floor
414,115,378,346,331,Spawning on floor
258,373,375,149,321,Spawning on floor
356,373,375,149,498,Spawning on floor
414,115,378,346,331,Spawning on floor
414,115,378,346,331,Spawning on floor
114,267,375,149,140,Spawning on floor
108,115,378,412,145,Spawning on floor
214,267,375,149,140,Spawning on floor
414,115,378,346,331,Spawning on floor
152,499,275,392,337,Spawning on floor
214,267,375,149,140,Spawning on floor
226,264,147,107,498,Spawning on floor
369,283,318,392,337,Spawning on floor
369,283,318,392,337,Spawning on floor
414,115,378,346,331,Spawning on floor
226,264,147,107,498,Spawning on floor
356,373,375,149,498,Spawning on floor
214,267,375,149,321,Spawning on floor
184,115,176,1,145,Spawning on floor
226,444,465,387,473,Spawning on floor
258,373,375,149,321,Spawning on floor
108,115,378,412,145,Spawning on floor
414,115,378,346,331,Spawning on floor
22,444,263,387,136,Spawning on floor
214,267,375,149,140,Spawning on floor
214,267,375,149,321,Spawning on floor
414,115,378,346,331,Spawning on floor
106,499,275,310,439,Spawning on floor
414,115,378,346,331,Spawning on floor
356,373,375,149,498,Spawning on floor
414,115,378,346,331,Spawning on floor
258,373,375,149,321,Spawning on floor
152,499,275,392,337,Spawning on floor
258,373,375,149,321,Spawning on floor
214,267,375,149,321,Spawning on floor
414,115,378,346,331,Spawning on floor
414,115,378,346,331,Spawning on floor
214,267,375,149,321,initial position
214,267,375,149,321,initial position
114,267,378,149,140,initial position
414,115,378,346,331,initial position
258,373,375,149,321,initial position
114,267,378,149,140,initial position
