lf_1,lf_2,lf_3,lf_4,lf_5,goal_status
252,58,95,434,317,Spawning on floor
252,58,95,434,317,Spawning on floor
358,349,138,334,106,Spawning on floor
121,481,208,130,53,Spawning on floor
358,349,138,334,106,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,489,175,106,Spawning on floor
358,349,138,334,106,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,138,334,106,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,489,175,106,Spawning on floor
121,481,208,130,110,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,489,175,106,Spawning on floor
252,58,95,434,317,Spawning on floor
121,481,208,130,110,Spawning on floor
121,481,208,130,110,Spawning on floor
317,349,489,175,504,Spawning on floor
366,98,264,434,279,Spawning on floor
121,481,208,130,110,Spawning on floor
317,349,489,175,504,Spawning on floor
104,401,17,434,53,Spawning on floor
317,349,489,175,504,Spawning on floor
358,349,138,334,106,Spawning on floor
121,481,208,130,110,Spawning on floor
121,481,208,130,110,Spawning on floor
121,481,208,130,110,Spawning on floor
366,299,384,472,504,Spawning on floor
252,58,95,434,317,Spawning on floor
358,349,138,334,106,Spawning on floor
366,299,384,472,504,Spawning on floor
252,58,95,434,317,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,489,175,106,Spawning on floor
252,58,95,434,317,Spawning on floor
366,299,384,434,279,Spawning on floor
317,349,489,175,504,Spawning on floor
358,349,138,334,106,Spawning on floor
252,58,95,434,317,Spawning on floor
358,349,138,334,106,Spawning on floor
358,349,138,334,106,Spawning on floor
317,349,489,175,504,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,489,175,106,Spawning on floor
366,299,384,472,504,Spawning on floor
358,349,489,175,106,Spawning on floor
358,349,138,334,106,Spawning on floor
121,481,208,130,110,Spawning on floor
121,481,208,130,110,Spawning on floor
358,349,489,175,106,Spawning on floor
358,349,138,334,106,Spawning on floor
358,349,489,175,106,Spawning on floor
104,401,17,434,53,Spawning on floor
121,481,208,130,110,Spawning on floor
366,299,384,472,504,Spawning on floor
366,299,384,130,504,Spawning on floor
252,58,95,434,317,Spawning on floor
104,401,17,434,53,Spawning on floor
358,349,138,334,106,Spawning on floor
78,98,264,434,279,Spawning on floor
358,349,138,334,106,Spawning on floor
104,401,17,434,53,Spawning on floor
358,349,138,334,106,initial position
104,401,17,434,53,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
252,58,95,175,106,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
366,299,384,472,504,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
252,58,95,434,317,initial position
121,481,208,130,110,initial position
358,349,489,175,106,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
121,481,208,130,110,initial position
366,98,384,434,279,initial position
358,349,138,334,106,initial position
252,58,95,434,317,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
366,299,384,472,504,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
358,349,138,334,106,initial position
104,401,17,196,53,initial position
252,58,95,434,317,initial position
366,98,264,434,279,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
317,349,489,175,504,initial position
317,349,489,175,504,initial position
358,349,489,175,106,initial position
104,401,17,434,53,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
366,349,489,472,504,initial position
358,349,138,334,106,initial position
104,401,17,434,53,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
104,401,17,130,53,initial position
366,299,384,472,504,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
358,349,489,175,106,initial position
317,349,489,175,504,initial position
317,349,489,175,504,initial position
366,299,384,472,504,initial position
121,481,208,130,110,initial position
104,401,17,434,53,initial position
358,349,489,175,106,initial position
317,349,489,175,504,initial position
252,58,95,434,317,initial position
358,349,138,175,106,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
366,299,384,472,504,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
252,58,95,434,317,initial position
358,58,95,175,106,initial position
317,349,489,175,504,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
366,98,384,312,279,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
104,401,17,434,53,initial position
366,299,384,472,504,initial position
104,401,17,196,196,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
366,299,384,472,504,initial position
121,299,208,130,110,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
104,401,17,196,53,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
358,58,138,175,106,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
104,401,17,434,53,initial position
366,299,384,434,279,initial position
366,299,384,472,504,initial position
104,401,17,434,53,initial position
366,299,384,472,504,initial position
366,98,264,434,279,initial position
366,299,384,472,504,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
366,299,384,130,110,initial position
317,196,318,236,172,initial position
366,299,384,472,504,initial position
366,98,384,434,279,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
358,58,138,175,106,initial position
366,299,384,472,504,initial position
104,401,17,434,53,initial position
358,349,138,334,106,initial position
104,401,17,130,53,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
104,401,17,434,53,initial position
358,58,95,175,106,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
104,401,17,434,53,initial position
104,401,17,434,53,initial position
358,349,138,334,106,initial position
317,349,489,175,504,initial position
121,481,208,130,110,initial position
121,481,208,130,110,initial position
366,299,384,472,504,initial position
366,299,384,472,504,initial position
317,349,489,175,504,initial position
358,349,489,175,106,initial position
366,98,264,434,279,initial position
252,58,95,434,317,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
366,98,264,434,279,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
366,299,384,472,504,initial position
121,481,208,130,110,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
252,58,95,434,317,initial position
252,58,95,434,317,initial position
78,98,264,434,279,initial position
121,481,208,130,110,initial position
366,299,384,472,504,initial position
366,299,489,472,504,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
366,98,264,434,279,initial position
261,401,17,196,196,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
317,349,489,175,504,initial position
358,349,138,334,106,initial position
358,58,138,175,106,initial position
358,349,489,175,106,initial position
366,98,384,312,279,initial position
317,349,489,175,504,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
121,481,208,130,110,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
252,58,95,434,110,initial position
78,98,264,434,279,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
121,481,208,130,110,initial position
358,349,489,175,106,initial position
104,401,17,434,53,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
366,299,489,472,504,initial position
358,349,489,175,106,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
104,401,17,434,53,initial position
252,58,95,175,317,initial position
366,98,264,434,279,initial position
366,299,384,472,504,initial position
358,349,489,175,106,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
121,481,208,130,110,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
252,58,95,434,317,initial position
366,299,384,472,504,initial position
121,481,208,130,110,initial position
104,401,17,434,53,initial position
358,349,138,175,106,initial position
317,349,489,175,504,initial position
358,349,138,334,106,initial position
358,349,489,175,106,initial position
366,299,384,472,504,initial position
104,401,17,434,53,initial position
121,481,208,130,110,initial position
121,481,208,130,110,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
358,349,138,334,106,initial position
252,58,95,130,110,initial position
121,481,208,130,110,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
121,481,208,130,110,initial position
78,98,264,434,279,initial position
358,349,489,175,106,initial position
358,349,138,175,106,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
252,58,95,434,317,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
358,349,138,334,106,initial position
317,349,489,175,504,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
104,401,17,434,53,initial position
358,58,138,175,106,initial position
317,196,318,236,172,initial position
252,58,95,434,317,initial position
121,481,208,130,110,initial position
358,349,138,334,106,initial position
121,481,208,130,110,initial position
121,481,208,130,110,initial position
366,299,384,130,504,initial position
366,299,384,472,504,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
104,401,17,196,53,initial position
358,349,489,175,106,initial position
358,349,489,175,106,initial position
121,481,208,130,110,initial position
104,401,17,434,53,initial position
358,349,138,334,106,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
366,98,264,434,279,initial position
358,349,489,175,106,initial position
104,401,17,130,53,initial position
358,349,138,334,106,initial position
104,401,17,434,53,initial position
121,481,208,130,110,initial position
366,299,384,472,504,initial position
252,58,95,434,317,initial position
358,349,138,334,106,initial position
252,58,95,434,317,initial position
121,481,208,130,110,initial position
366,299,384,472,504,initial position
358,58,138,175,106,initial position
366,299,384,472,504,initial position
121,481,208,130,110,initial position
366,299,384,130,110,initial position
121,481,208,130,110,initial position
104,401,17,434,53,initial position
252,58,95,434,317,initial position
358,349,489,175,106,initial position
366,98,264,434,279,initial position
